date,artist,front_person_age,song,discogs_genre,length_sec,simplified_key,lyrical_topic,explicit,discogs_genre_cleaned,year,decade,lyrical_topic_split
1958-08-04 00:00:00+00:00,Ricky Nelson,18.0,Poor Little Fool,Rock,154,C,Lost Love,0,Rock,1958,1950,['Lost Love']
1958-08-18 00:00:00+00:00,Domenico Modugno,30.0,Nel Blu Dipinto Di Blu,"Pop;Folk, World, & Country",219,Bb,Flying;Dreaming,0,Pop,1958,1950,"['Flying', 'Dreaming']"
1958-08-25 00:00:00+00:00,The Elegants,17.0,Little Star,Rock,163,A,Longing for Love,0,Rock,1958,1950,['Longing for Love']
1958-09-29 00:00:00+00:00,Tommy Edwards,35.0,It's All in the Game,Rock;Pop,156,Eb,Love,0,Rock,1958,1950,['Love']
1958-11-10 00:00:00+00:00,Conway Twitty,25.0,It's Only Make Believe,Rock,134,B,Lost Love,0,Rock,1958,1950,['Lost Love']
1958-11-17 00:00:00+00:00,The Kingston Trio,24.33333333333333,Tom Dooley,"Folk, World, & Country",185,E,Murder;Death,0,Folk,1958,1950,"['Murder', 'Death']"
1958-12-01 00:00:00+00:00,The Teddy Bears,18.0,To Know Him is to Love Him,Pop,142,Multiple Keys,Longing for Love,0,Pop,1958,1950,['Longing for Love']
1958-12-22 00:00:00+00:00,The Chipmunks,39.0,The Chipmunk Song,Pop;Children's,141,Ab,Christmas,0,Pop,1958,1950,['Christmas']
1959-01-19 00:00:00+00:00,The Platters,30.0,Smoke Gets in Your Eyes,Funk/Soul,158,Multiple Keys,Lost Love,0,Funk/Soul,1959,1950,['Lost Love']
1959-02-02 00:00:00+00:00,Lloyd Price,25.0,Stagger Lee,Rock,145,Eb,Murder;Death,0,Rock,1959,1950,"['Murder', 'Death']"
1959-03-09 00:00:00+00:00,Frankie Avalon,18.0,Venus,Pop,142,Bb,Longing for Love,0,Pop,1959,1950,['Longing for Love']
1959-04-13 00:00:00+00:00,The Fleetwoods,19.0,Come Softly to Me,Pop,145,Db,Longing for Love,0,Pop,1959,1950,['Longing for Love']
1959-05-18 00:00:00+00:00,Wilbert Harrison,30.0,Kansas City,Rock,145,Db,Lust/Sex,0,Rock,1959,1950,['Lust/Sex']
1959-06-01 00:00:00+00:00,Johnny Horton,34.0,The Battle of New Orleans,"Pop;Folk, World, & Country",151,A,War,0,Pop,1959,1950,['War']
1959-07-13 00:00:00+00:00,Paul Anka,17.0,Lonely Boy,Rock,151,C,Longing for Love,0,Rock,1959,1950,['Longing for Love']
1959-08-10 00:00:00+00:00,Elvis Presley,24.0,Big Hunk o' Love,Rock,141,C,Lust/Sex,0,Rock,1959,1950,['Lust/Sex']
1959-08-24 00:00:00+00:00,The Browns,25.0,The Three Bells (Les Trois Cloches),"Pop;Folk, World, & Country",174,G,Life;Death,0,Pop,1959,1950,"['Life', 'Death']"
1959-10-05 00:00:00+00:00,Bobby Darin,23.0,Mack the Knife,Rock;Pop,184,Multiple Keys,Murder;Death,0,Rock,1959,1950,"['Murder', 'Death']"
1959-11-16 00:00:00+00:00,The Fleetwoods,19.0,Mr. Blue,Pop,145,E,Lost Love,0,Pop,1959,1950,['Lost Love']
1959-12-14 00:00:00+00:00,Guy Mitchell,32.0,Heartaches by the Number,"Folk, World, & Country",155,F,Lost Love,0,Folk,1959,1950,['Lost Love']
1959-12-28 00:00:00+00:00,Frankie Avalon,19.0,Why,Pop,158,C,Love,0,Pop,1959,1950,['Love']
1960-01-04 00:00:00+00:00,Marty Robbins,34.0,El Paso,"Pop;Folk, World, & Country",259,D,Love;Murder;Death,0,Pop,1960,1960,"['Love', 'Murder', 'Death']"
1960-01-18 00:00:00+00:00,Johnny Preston,20.0,Running Bear,Rock;Pop,158,Bb,Love;Death,0,Rock,1960,1960,"['Love', 'Death']"
1960-02-08 00:00:00+00:00,Mark Dinning,26.0,Teen Angel,Pop,157,C,Love;Death,0,Pop,1960,1960,"['Love', 'Death']"
1960-04-25 00:00:00+00:00,Elvis Presley,25.0,Stuck on You,Rock;Pop,140,G,Lust/Sex,0,Rock,1960,1960,['Lust/Sex']
1960-05-23 00:00:00+00:00,The Everly Brothers,22.0,Cathy's Clown,Rock,144,G,Bad Relationships;Lost Love,0,Rock,1960,1960,"['Bad Relationships', 'Lost Love']"
1960-06-27 00:00:00+00:00,Connie Francis,22.0,Everybody's Somebody's Fool,"Rock;Pop;Folk, World, & Country",160,Gb,Bad Relationships;Lost Love,0,Rock,1960,1960,"['Bad Relationships', 'Lost Love']"
1960-07-11 00:00:00+00:00,The Hollywood Argyles,20.5,Alley Oop,Rock,165,G,Bad Behavior,0,Rock,1960,1960,['Bad Behavior']
1960-07-18 00:00:00+00:00,Brenda Lee,15.0,I'm Sorry,"Rock;Pop;Folk, World, & Country",144,Bb,Lost Love,0,Rock,1960,1960,['Lost Love']
1960-08-08 00:00:00+00:00,Brian Hyland,17.0,Itsy Bitsy Teenie Weenie Yellow Polka Dot Bikini,Rock,144,D,Shyness,0,Rock,1960,1960,['Shyness']
1960-08-15 00:00:00+00:00,Elvis Presley,25.0,It's Now or Never,Rock,196,E,Love,0,Rock,1960,1960,['Love']
1960-09-19 00:00:00+00:00,Chubby Checker,18.0,The Twist,Rock,154,E,Dancing,0,Rock,1960,1960,['Dancing']
1960-09-26 00:00:00+00:00,Connie Francis,22.0,My Heart Has A Mind Of Its Own,Rock,152,Gb,Lost Love,0,Rock,1960,1960,['Lost Love']
1960-10-10 00:00:00+00:00,Larry Verne,24.0,Mr. Custer,"Rock;Pop;Folk, World, & Country",185,Bm,War,1,Rock,1960,1960,['War']
1960-10-17 00:00:00+00:00,The Drifters,22.0,Save the Last Dance for Me,Rock,155,E,Love,0,Rock,1960,1960,['Love']
1960-10-24 00:00:00+00:00,Brenda Lee,15.0,I Want to Be Wanted (Per Tutta La Vita),"Rock;Pop;Folk, World, & Country",185,Ab,Longing for Love,0,Rock,1960,1960,['Longing for Love']
1960-11-14 00:00:00+00:00,Ray Charles,30.0,Georgia on My Mind,"Funk/Soul;Blues;Pop;Folk, World, & Country",215,G,Home;Love,0,Funk/Soul,1960,1960,"['Home', 'Love']"
