date,artist,front_person_age,song,length_sec,key,lyrical_topic,explicit,genre,year,decade,bpm
1958-08-04 00:00:00+00:00,Ricky Nelson,18,Poor Little Fool,154,C,Lost Love,0,Rock,1958,1950,155.0
1958-08-18 00:00:00+00:00,Domenico Modugno,30,Nel Blu Dipinto Di Blu,219,Bb,Flying;Dreaming,0,Pop,1958,1950,130.0
1958-08-25 00:00:00+00:00,The Elegants,17,Little Star,163,A,Longing for Love,0,Rock,1958,1950,73.0
1958-09-29 00:00:00+00:00,Tommy Edwards,35,It's All in the Game,156,Eb,Love,0,Rock,1958,1950,71.0
1958-11-10 00:00:00+00:00,Conway Twitty,25,It's Only Make Believe,134,B,Lost Love,0,Rock,1958,1950,127.0
1958-11-17 00:00:00+00:00,The Kingston Trio,24,Tom Dooley,185,E,Murder;Death,0,Folk,1958,1950,126.0
1958-12-01 00:00:00+00:00,The Teddy Bears,18,To Know Him is to Love Him,142,Multiple Keys,Longing for Love,0,Pop,1958,1950,175.0
1958-12-22 00:00:00+00:00,The Chipmunks,39,The Chipmunk Song,141,Ab,Christmas,0,Pop,1958,1950,153.0
1959-01-19 00:00:00+00:00,The Platters,30,Smoke Gets in Your Eyes,158,Multiple Keys,Lost Love,0,Funk/Soul,1959,1950,113.0
1959-02-02 00:00:00+00:00,Lloyd Price,25,Stagger Lee,145,Eb,Murder;Death,0,Rock,1959,1950,71.0
1959-03-09 00:00:00+00:00,Frankie Avalon,18,Venus,142,Bb,Longing for Love,0,Pop,1959,1950,115.0
1959-04-13 00:00:00+00:00,The Fleetwoods,19,Come Softly to Me,145,Db,Longing for Love,0,Pop,1959,1950,123.0
1959-05-18 00:00:00+00:00,Wilbert Harrison,30,Kansas City,145,Db,Lust/Sex,0,Rock,1959,1950,115.0
1959-06-01 00:00:00+00:00,Johnny Horton,34,The Battle of New Orleans,151,A,War,0,Pop,1959,1950,89.0
1959-07-13 00:00:00+00:00,Paul Anka,17,Lonely Boy,151,C,Longing for Love,0,Rock,1959,1950,106.0
